size insert merge quick heap
50 25114 86447 13502 46123 
100 92572 177107 30503 107978 
150 201181 262086 48411 172571 
200 376923 377848 72166 256192 
250 602772 502003 96285 357437 
300 846521 590445 116630 422202 
350 1158776 711487 141205 513670 
400 1457134 777751 160304 583891 
450 1799336 866164 177082 649860 
500 2208166 952857 200771 746488 
